county,Age_group,Population
Alachua,<1,"2,659"
Alachua,1-4,"11,280"
Alachua,5-9,"13,732"
Alachua,10-14,"12,884"
Alachua,15-19,"21,298"
Alachua,20-24,"41,678"
Alachua,25-34,"41,730"
Alachua,35-44,"29,108"
Alachua,45-54,"26,007"
Alachua,55-64,"28,897"
Alachua,65-74,"22,469"
Alachua,75-84,"10,364"
Alachua,85+,"4,543"
Alachua,Total,"266,649"
Baker,<1,352
Baker,1-4,"1,410"
Baker,5-9,"1,828"
Baker,10-14,"1,913"
Baker,15-19,"1,814"
Baker,20-24,"1,639"
Baker,25-34,"4,226"
Baker,35-44,"3,627"
Baker,45-54,"3,812"
Baker,55-64,"3,489"
Baker,65-74,"2,396"
Baker,75-84,"1,214"
Baker,85+,369
Baker,Total,"28,089"
Bay,<1,"1,873"
Bay,1-4,"9,129"
Bay,5-9,"10,906"
Bay,10-14,"10,603"
Bay,15-19,"9,633"
Bay,20-24,"10,608"
Bay,25-34,"25,940"
Bay,35-44,"21,732"
Bay,45-54,"23,101"
Bay,55-64,"25,621"
Bay,65-74,"17,870"
Bay,75-84,"9,192"
Bay,85+,"3,692"
Bay,Total,"179,900"
Bradford,<1,284
Bradford,1-4,"1,249"
Bradford,5-9,"1,577"
Bradford,10-14,"1,551"
Bradford,15-19,"1,436"
Bradford,20-24,"1,720"
Bradford,25-34,"4,367"
Bradford,35-44,"3,747"
Bradford,45-54,"3,682"
Bradford,55-64,"3,780"
Bradford,65-74,"2,812"
Bradford,75-84,"1,623"
Bradford,85+,627
Bradford,Total,"28,455"
Brevard,1-4,"5,141"
Brevard,5-9,"22,522"
Brevard,10-14,"29,310"
Brevard,10-14,"31,812"
Brevard,15-19,"31,594"
Brevard,20-24,"30,798"
Brevard,25-34,"67,750"
Brevard,35-44,"61,560"
Brevard,45-54,"75,114"
Brevard,55-64,"97,250"
Brevard,65-74,"75,783"
Brevard,75-84,"46,240"
Brevard,85+,"18,498"
Brevard,Total,"593,372"
Broward,1-4,"21,510"
Broward,5-9,"90,199"
Broward,10-14,"111,338"
Broward,10-14,"115,388"
Broward,15-19,"110,253"
Broward,20-24,"110,445"
Broward,25-34,"260,664"
Broward,35-44,"257,306"
Broward,45-54,"271,157"
Broward,55-64,"258,471"
Broward,65-74,"178,767"
Broward,75-84,"95,974"
Broward,85+,"45,542"
Broward,Total,"1,927,014"
Calhoun,1-4,116
Calhoun,5-9,621
Calhoun,10-14,837
Calhoun,10-14,938
Calhoun,15-19,796
Calhoun,20-24,806
Calhoun,25-34,"2,169"
Calhoun,35-44,"1,975"
Calhoun,45-54,"2,070"
Calhoun,55-64,"1,952"
Calhoun,65-74,"1,512"
Calhoun,75-84,872
Calhoun,85+,318
Calhoun,Total,"14,982"
Charlotte,1-4,930
Charlotte,5-9,"4,527"
Charlotte,10-14,"5,706"
Charlotte,10-14,"6,418"
Charlotte,15-19,"6,617"
Charlotte,20-24,"6,811"
Charlotte,25-34,"14,134"
Charlotte,35-44,"13,346"
Charlotte,45-54,"19,128"
Charlotte,55-64,"31,373"
Charlotte,65-74,"39,000"
Charlotte,75-84,"24,846"
Charlotte,85+,"9,462"
Charlotte,Total,"182,298"
Citrus,<1,"1,005"
Citrus,1-4,"4,622"
Citrus,5-9,"5,918"
Citrus,10-14,"6,484"
Citrus,15-19,"6,135"
Citrus,20-24,"5,587"
Citrus,25-34,"12,653"
Citrus,35-44,"11,433"
Citrus,45-54,"16,215"
Citrus,55-64,"24,050"
Citrus,65-74,"28,829"
Citrus,75-84,"18,541"
Citrus,85+,"6,263"
Citrus,Total,"147,735"
Clay,<1,"2,197"
Clay,1-4,"9,818"
Clay,5-9,"13,621"
Clay,10-14,"15,323"
Clay,15-19,"14,591"
Clay,20-24,"11,947"
Clay,25-34,"27,372"
Clay,35-44,"27,998"
Clay,45-54,"30,063"
Clay,55-64,"29,915"
Clay,65-74,"21,548"
Clay,75-84,"9,629"
Clay,85+,"3,087"
Clay,Total,"217,109"
Collier,<1,"3,102"
Collier,1-4,"13,498"
Collier,5-9,"17,399"
Collier,10-14,"19,000"
Collier,15-19,"18,551"
Collier,20-24,"17,870"
Collier,25-34,"35,854"
Collier,35-44,"36,636"
Collier,45-54,"43,468"
Collier,55-64,"50,642"
Collier,65-74,"59,721"
Collier,75-84,"44,746"
Collier,85+,"17,213"
Collier,Total,"377,700"
Columbia,<1,756
Columbia,1-4,"3,441"
Columbia,5-9,"4,233"
Columbia,10-14,"4,384"
Columbia,15-19,"4,194"
Columbia,20-24,"4,481"
Columbia,25-34,"9,245"
Columbia,35-44,"8,250"
Columbia,45-54,"8,512"
Columbia,55-64,"9,785"
Columbia,65-74,"7,721"
Columbia,75-84,"4,124"
Columbia,85+,"1,488"
Columbia,Total,"70,614"
Miami-Dade,<1,"29,282"
Miami-Dade,1-4,"134,143"
Miami-Dade,5-9,"155,124"
Miami-Dade,10-14,"157,891"
Miami-Dade,15-19,"161,380"
Miami-Dade,20-24,"171,921"
Miami-Dade,25-34,"403,897"
Miami-Dade,35-44,"389,110"
Miami-Dade,45-54,"415,163"
Miami-Dade,55-64,"353,302"
Miami-Dade,65-74,"246,305"
Miami-Dade,75-84,"147,063"
Miami-Dade,85+,"65,919"
Miami-Dade,Total,"2,830,500"
Desoto,<1,394
Desoto,1-4,"1,402"
Desoto,5-9,"1,849"
Desoto,10-14,"1,885"
Desoto,15-19,"2,040"
Desoto,20-24,"2,380"
Desoto,25-34,"5,104"
Desoto,35-44,"4,336"
Desoto,45-54,"4,155"
Desoto,55-64,"4,246"
Desoto,65-74,"4,060"
Desoto,75-84,"2,849"
Desoto,85+,"1,018"
Desoto,Total,"35,718"
Dixie,<1,164
Dixie,1-4,599
Dixie,5-9,853
Dixie,10-14,864
Dixie,15-19,805
Dixie,20-24,809
Dixie,25-34,"1,958"
Dixie,35-44,"1,970"
Dixie,45-54,"2,063"
Dixie,55-64,"2,527"
Dixie,65-74,"2,256"
Dixie,75-84,"1,281"
Dixie,85+,367
Dixie,Total,"16,516"
Duval,<1,"12,759"
Duval,1-4,"53,009"
Duval,5-9,"61,628"
Duval,10-14,"59,159"
Duval,15-19,"55,008"
Duval,20-24,"63,606"
Duval,25-34,"161,451"
Duval,35-44,"123,037"
Duval,45-54,"121,610"
Duval,55-64,"124,055"
Duval,65-74,"83,395"
Duval,75-84,"37,872"
Duval,85+,"15,253"
Duval,Total,"971,842"
Escambia,<1,"3,826"
Escambia,1-4,"15,643"
Escambia,5-9,"18,655"
Escambia,10-14,"18,654"
Escambia,15-19,"21,751"
Escambia,20-24,"25,748"
Escambia,25-34,"47,532"
Escambia,35-44,"35,415"
Escambia,45-54,"37,450"
Escambia,55-64,"43,841"
Escambia,65-74,"32,065"
Escambia,75-84,"16,120"
Escambia,85+,"6,201"
Escambia,Total,"322,901"
Flagler,<1,830
Flagler,1-4,"3,485"
Flagler,5-9,"4,909"
Flagler,10-14,"5,749"
Flagler,15-19,"5,672"
Flagler,20-24,"4,751"
Flagler,25-34,"9,962"
Flagler,35-44,"10,631"
Flagler,45-54,"13,256"
Flagler,55-64,"17,406"
Flagler,65-74,"19,688"
Flagler,75-84,"10,648"
Flagler,85+,"3,649"
Flagler,Total,"110,636"
Franklin,<1,101
Franklin,1-4,442
Franklin,5-9,535
Franklin,10-14,563
Franklin,15-19,467
Franklin,20-24,596
Franklin,25-34,"1,750"
Franklin,35-44,"1,365"
Franklin,45-54,"1,530"
Franklin,55-64,"1,788"
Franklin,65-74,"1,773"
Franklin,75-84,888
Franklin,85+,219
Franklin,Total,"12,017"
Gadsden,<1,495
Gadsden,1-4,"2,374"
Gadsden,5-9,"2,884"
Gadsden,10-14,"3,076"
Gadsden,15-19,"2,804"
Gadsden,20-24,"2,816"
Gadsden,25-34,"5,724"
Gadsden,35-44,"6,008"
Gadsden,45-54,"6,244"
Gadsden,55-64,"6,936"
Gadsden,65-74,"5,185"
Gadsden,75-84,"2,449"
Gadsden,85+,931
Gadsden,Total,"47,926"
Gilchrist,<1,207
Gilchrist,1-4,796
Gilchrist,5-9,975
Gilchrist,10-14,964
Gilchrist,15-19,"1,282"
Gilchrist,20-24,"1,439"
Gilchrist,25-34,"1,833"
Gilchrist,35-44,"1,810"
Gilchrist,45-54,"2,203"
Gilchrist,55-64,"2,546"
Gilchrist,65-74,"1,994"
Gilchrist,75-84,"1,165"
Gilchrist,85+,468
Gilchrist,Total,"17,682"
Glades,<1,53
Glades,1-4,355
Glades,5-9,545
Glades,10-14,647
Glades,15-19,620
Glades,20-24,634
Glades,25-34,"1,700"
Glades,35-44,"1,616"
Glades,45-54,"1,633"
Glades,55-64,"1,722"
Glades,65-74,"1,860"
Glades,75-84,"1,349"
Glades,85+,364
Glades,Total,"13,098"
Gulf,<1,123
Gulf,1-4,538
Gulf,5-9,734
Gulf,10-14,732
Gulf,15-19,711
Gulf,20-24,917
Gulf,25-34,"2,373"
Gulf,35-44,"2,071"
Gulf,45-54,"2,343"
Gulf,55-64,"2,406"
Gulf,65-74,"2,163"
Gulf,75-84,"1,052"
Gulf,85+,344
Gulf,Total,"16,507"
Hamilton,<1,165
Hamilton,1-4,642
Hamilton,5-9,726
Hamilton,10-14,787
Hamilton,15-19,824
Hamilton,20-24,"1,342"
Hamilton,25-34,"2,062"
